iter	Passed	Remaining
674	1160	558
675	1161	556
676	1162	554
677	1163	552
678	1164	550
679	1166	548
680	1167	546
681	1168	544
682	1169	542
683	1170	540
684	1172	539
685	1173	537
686	1174	535
687	1175	533
688	1177	531
689	1178	529
690	1179	527
691	1180	525
692	1181	523
693	1182	521
694	1184	519
695	1185	517
696	1186	515
697	1187	513
698	1188	511
699	1189	509
700	1190	507
701	1192	506
702	1193	504
703	1195	502
704	1196	500
705	1197	498
706	1199	497
707	1201	495
708	1202	493
709	1204	491
710	1205	490
711	1206	488
712	1208	486
713	1209	484
714	1211	482
715	1212	480
716	1214	479
717	1215	477
718	1216	475
719	1217	473
720	1220	472
721	1221	470
722	1223	468
723	1225	467
724	1227	465
725	1228	463
726	1230	462
727	1232	460
728	1234	458
729	1236	457
730	1238	455
731	1239	453
732	1241	452
733	1243	450
734	1245	448
735	1246	447
736	1247	445
737	1249	443
738	1250	441
739	1252	440
740	1254	438
741	1255	436
742	1256	434
743	1258	432
744	1259	431
745	1260	429
746	1261	427
747	1262	425
748	1264	423
749	1265	421
750	1266	419
751	1267	417
752	1269	416
753	1270	414
754	1271	412
755	1272	410
756	1274	409
757	1276	407
758	1277	405
759	1279	403
760	1280	402
761	1281	400
762	1282	398
763	1284	396
764	1286	395
765	1287	393
766	1289	391
767	1291	390
768	1292	388
769	1293	386
770	1296	385
771	1297	383
772	1315	386
773	1316	384
774	1317	382
775	1318	380
776	1319	378
777	1321	376
778	1322	375
779	1323	373
780	1324	371
781	1325	369
782	1333	369
783	1339	369
784	1341	367
785	1343	365
786	1346	364
787	1347	362
788	1348	360
789	1351	359
790	1353	357
791	1354	355
792	1357	354
793	1358	352
794	1360	350
795	1361	348
796	1362	347
797	1363	345
798	1365	343
799	1366	341
800	1367	339
801	1369	337
802	1370	336
803	1372	334
804	1373	332
805	1375	330
806	1376	329
807	1378	327
808	1379	325
809	1380	323
810	1382	322
811	1383	320
812	1385	318
813	1386	316
814	1387	315
815	1388	313
816	1390	311
817	1391	309
818	1393	307
819	1394	306
820	1399	305
821	1400	303
822	1402	301
823	1403	299
824	1404	297
825	1405	296
826	1406	294
827	1408	292
828	1409	290
829	1410	288
830	1411	286
831	1412	285
832	1413	283
833	1413	281
834	1414	279
835	1415	277
836	1416	275
837	1417	274
838	1419	272
839	1419	270
840	1420	268
841	1421	266
842	1422	264
843	1423	263
844	1425	261
845	1426	259
846	1427	257
847	1428	256
848	1430	254
849	1431	252
850	1432	250
851	1433	248
852	1434	247
853	1436	245
854	1437	243
855	1438	241
856	1439	240
857	1441	238
858	1442	236
859	1443	234
860	1444	233
861	1445	231
862	1447	229
863	1448	227
864	1449	226
865	1450	224
866	1451	222
867	1452	220
868	1453	219
869	1454	217
870	1456	215
871	1457	213
872	1458	212
873	1459	210
874	1461	208
875	1462	207
876	1463	205
877	1464	203
878	1465	201
879	1467	200
880	1468	198
881	1469	196
882	1469	194
883	1470	193
884	1472	191
885	1473	189
886	1474	187
887	1474	186
888	1475	184
889	1476	182
890	1477	180
891	1478	179
892	1479	177
893	1480	175
894	1481	173
895	1482	172
896	1484	170
897	1485	168
898	1486	166
899	1486	165
900	1487	163
901	1489	161
902	1490	160
903	1491	158
904	1491	156
905	1492	154
906	1493	153
907	1495	151
908	1496	149
909	1497	148
910	1498	146
911	1499	144
912	1501	143
913	1501	141
914	1502	139
915	1503	137
916	1505	136
917	1507	134
918	1508	132
919	1509	131
920	1510	129
921	1511	127
922	1512	126
923	1513	124
924	1514	122
925	1515	121
926	1516	119
927	1517	117
928	1518	116
929	1519	114
930	1520	112
931	1521	111
932	1523	109
933	1523	107
934	1524	105
935	1525	104
936	1527	102
937	1527	100
938	1528	99
939	1529	97
940	1531	95
941	1532	94
942	1533	92
943	1534	91
944	1535	89
945	1536	87
946	1538	86
947	1539	84
948	1540	82
949	1542	81
950	1543	79
951	1544	77
952	1546	76
953	1547	74
954	1549	72
955	1550	71
956	1551	69
957	1552	68
958	1554	66
959	1555	64
960	1556	63
961	1557	61
962	1559	59
963	1560	58
964	1561	56
965	1562	54
966	1564	53
967	1565	51
968	1566	50
969	1568	48
970	1570	46
971	1572	45
972	1573	43
973	1575	42
974	1577	40
975	1579	38
976	1580	37
977	1581	35
978	1582	33
979	1583	32
980	1585	30
981	1587	29
982	1588	27
983	1590	25
984	1591	24
985	1592	22
986	1594	20
987	1595	19
988	1596	17
989	1597	16
990	1599	14
991	1601	12
992	1602	11
993	1603	9
994	1604	8
995	1606	6
996	1607	4
997	1608	3
998	1610	1
999	1612	0
